ORF,N_FC_Strains,mean_FoldChangeExpression,median_FoldChangeExpression,p
YBL016W,10,0.115069703442532,0.05146422970103,0.101240565437588
YBL017C,10,-0.00102262611301016,0.010628296503351,0.979604736044155
YBL018C,10,0.0577780394313003,-0.0546871874350947,0.672654399020059
YBL019W,10,0.0172236417503307,2.60594650700634e-05,0.69203871270791
YBL020W,10,0.0938654724532528,0.0230338987675233,0.251269579136642
YBL021C,10,-0.0024930016306124,0.0055673920837543,0.940737539132607
YBL022C,10,0.0496142394762764,0.0413274036040349,0.511262507090517
YBL023C,10,0.089390771222288,-0.0109425180224141,0.359181371477507
YBL024W,10,0.0910769814145118,-0.000914305918186333,0.297611355519706
YBL025W,10,0.00705075125760831,-0.00263001217483245,0.879274814761505
YBL026W,10,-0.0396468303920494,0.0221230420388414,0.749861552602394
YBL027W,10,-0.0387305883908886,0.00714447473666591,0.323014603119808
YBL028C,10,0.143313284413116,0.00663990744770636,0.315321935453821
YBL029C-A,10,-0.107494336370853,0.0394838224302452,0.5090092778762
YBL029W,10,-0.0173237898427725,0.00967640178278073,0.755012743381719
YBL030C,10,-0.0360558096628171,0.00544095089472225,0.434336819948509
YBL031W,10,0.0675580036586199,0.0126069472372679,0.384543156642883
YBL032W,10,-0.00151430091174569,-0.00558283255954564,0.9695017857555
YBL033C,10,0.139241036357621,0.110016253616573,0.0661087121068745
YBL034C,10,0.0651623910863223,0.00418775666425694,0.473318356269135
YBL035C,10,0.136888909124352,-0.0054020639409029,0.353313245813056
YBL036C,10,0.0753938078660945,0.0297281107470188,0.250682571999959
YBL037W,10,0.012500112370127,0.00415394162928936,0.80237885203854
YBL038W,10,0.0893548648597142,-0.00658055733964171,0.163249115066316
YBL039C,10,0.102292932530432,-0.049692961684883,0.53681583745569
YBL039C-A,10,0,0,NaN
YBL039W-B,10,-0.0764866511543828,-0.0632094541133962,0.256244675190054
YBL040C,10,-0.0490070796472974,0.0150130351033631,0.569562600501469
YBL041W,10,0.0084851552059081,0.025527964627501,0.8858079582551
