ORF,N_FC_Strains,mean_FoldChangeExpression,median_FoldChangeExpression,p
YDR504C,1,-0.0225334248080675,-0.0225334248080675,0.563833744719072
YDR505C,2,0.133452831793814,0.133452831793814,0.289223530007268
YDR506C,2,-0.114874199849206,-0.114874199849206,0.12981882499833
YDR507C,5,-0.106115560762921,-0.11232301674694,0.893586765766101
YDR508C,5,-0.103332583089233,-0.144878238857839,0.177334705394291
YDR509W,5,0.855578013957309,0.614458010779308,0.00160095792080706
YDR510C-A,10,0.497432485191049,0.384366814284325,0.0673797163161189
YDR510W,10,-0.121693173829128,-0.141312249696625,0.00148305646989682
YDR511W,10,0.0235687123896673,0.0335685426462558,0.715818138162881
YDR512C,10,-0.123476876754924,-0.170906014148046,0.0929129205236408
YDR513W,10,0.129107718671701,0.176078507215806,0.194593555294087
YDR514C,10,0.181004332735415,0.0171408759690966,0.179299191440705
YDR515W,10,0.508051651232533,0.43941912635653,0.000184443467777702
YDR516C,10,-0.0489590406516173,0.129632388537808,0.85220382930548
YDR517W,10,-0.223037342605973,-0.230664169481291,0.000523718739586739
YDR518W,10,-0.203190899528864,-0.232961985689894,0.00337026454486044
YDR519W,10,-0.288402904866511,-0.284516830298928,1.20276953758483e-05
YDR520C,10,0.215024610296572,0.107079431140422,0.0293762389138141
YDR521W,10,-0.492889517013979,-0.533516368315262,0.00018664248826225
YDR522C,10,0.41510602163123,0.390969602307385,0.00691360301549465
YDR523C,10,0.745085012995289,0.692786941068619,0.0012078751079473
YDR524C,10,0.542435171352411,0.509354276344222,6.93413865571301e-05
YDR524C-A,10,-1.51670545605523,-1.4609355358039,0.00209472943370141
YDR524C-B,10,0.00280966004911899,-0.0299815263448757,0.973085211573022
YDR524W-C,10,0.895000874053033,0.365806730034735,0.057918906729811
YDR525W,10,0.317265206895572,0.301515977269956,0.0211516794752963
YDR525W-A,10,0.21266211618647,0.357982722116284,0.258694702857057
YDR526C,10,0.122829234939803,0.129286000960104,0.115784682246237
YDR527W,10,0.168060780698947,0.0689165749865221,0.0857850155486406
YDR528W,10,-0.144737307854118,-0.311753454723059,0.379792377832377
YDR529C,10,0.37597637882176,0.343364020644472,0.00118780926514824
YDR530C,10,-0.0395549887819579,0.010664089949795,0.47691260096744
YDR531W,10,0.134379048652286,0.185560724319831,0.158563263725248
YDR532C,10,0.1706492158811,0.203446658678657,0.00303925239056655
YDR533C,10,0.134327007057493,-0.124277115661547,0.686807107978028
YDR534C,10,0.411176108057889,0.40289673540735,0.0001958700370724
YDR535C,10,0.161849608283253,0.244300376638335,0.155548015256676
YDR536W,10,0.440022520106182,0.346849158389791,0.000464763459745777
YDR537C,10,-0.122293206809798,-0.164435819373598,0.100004690802859
YDR538W,10,0.161199129380199,0.124339876836761,0.00124418553534681
YDR539W,10,0.0512552619841599,0.0501584100647336,0.237253894168056
YDR540C,10,NaN,NaN,NaN
YDR541C,10,NaN,NaN,NaN
YDR542W,10,NaN,NaN,NaN
YDR543C,10,NaN,NaN,NaN
YDR544C,10,NaN,NaN,NaN
YDR545C-A,10,NaN,NaN,NaN
YDR545W,10,NaN,NaN,NaN
YLR431C,1,-0.161811630664808,-0.161811630664808,0.303106803200281
YLR432W,1,0.0409863464390615,0.0409863464390615,0.473666422114178
YLR433C,1,-0.0685424301451009,-0.0685424301451009,0.516999603433454
YLR434C,1,-0.333033426588968,-0.333033426588968,0.717474159044078
YLR435W,1,0.0412858629541328,0.0412858629541328,0.302017628157207
YLR436C,2,-0.0953813460492517,-0.0953813460492517,0.211302807858682
YLR437C,2,-0.24257800648309,-0.24257800648309,0.305823005862792
YLR437C-A,2,-0.421421101262089,-0.421421101262089,0.313911189135199
YLR438C-A,2,0.110719668287642,0.110719668287642,0.833560415749908
YLR438W,2,-0.168277440420095,-0.168277440420095,0.716689516116397
YLR439W,2,-0.0977681887920789,-0.0977681887920789,0.628509403670831
YLR440C,2,-0.057214983530503,-0.057214983530503,0.753491586824461
YLR441C,2,0.0159769518696458,0.0159769518696458,0.890541869294705
YLR442C,2,0.0397069028560656,0.0397069028560656,0.730303608503776
YLR443W,2,-0.0858085801013986,-0.0858085801013986,0.545425026143821
YLR444C,2,-0.0238770177225935,-0.0238770177225935,0.227839108375105
YLR445W,2,-0.714711785312137,-0.714711785312137,0.620552862840483
YLR446W,2,-0.136634671355555,-0.136634671355555,0.672534770396241
YLR447C,2,0.0193383625246559,0.0193383625246559,0.87429841143294
YLR448W,2,-0.0834054830156181,-0.0834054830156181,0.29169471173046
YLR449W,2,-0.140329612142471,-0.140329612142471,0.660550401399556
